epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.138,2.90117,3.61645,0.04185,0.57651,0.36402,0.36631,0.10794,2.596,1.77122,0.03816,0.000551326,0.000551326,0.000551326
2,874.597,2.34589,2.1057,0.03351,0.59788,0.34075,0.38088,0.13783,2.20726,1.90565,0.02964,0.00109603,0.00109603,0.00109603
3,1245,2.16988,2.07963,0.0292,0.60976,0.37173,0.40937,0.16052,2.04307,1.68338,0.02618,0.00162974,0.00162974,0.00162974
4,1609.15,2.09603,1.93154,0.02897,0.41515,0.47433,0.4722,0.17497,2.02845,1.57532,0.02572,0.00161749,0.00161749,0.00161749
5,1973.45,2.04104,1.88037,0.02774,0.49087,0.54917,0.49678,0.19928,1.95362,1.56022,0.02471,0.00160099,0.00160099,0.00160099
6,2337.46,1.98016,1.70997,0.02636,0.50482,0.57665,0.53532,0.21626,2.01099,1.40706,0.02667,0.00158448,0.00158448,0.00158448
7,2698.84,1.95966,1.59055,0.02622,0.59695,0.56987,0.58628,0.22723,2.0588,1.32563,0.02974,0.00156798,0.00156798,0.00156798
8,3057.07,1.90806,1.57968,0.02467,0.59086,0.58746,0.60008,0.23841,2.03941,1.28766,0.02745,0.00155148,0.00155148,0.00155148
9,3415.66,1.90529,1.46539,0.02404,0.64202,0.60796,0.57933,0.24371,1.97699,1.2873,0.02628,0.00153497,0.00153497,0.00153497
10,3775.9,1.89998,1.43763,0.02504,0.6321,0.62509,0.60718,0.24436,2.02232,1.19068,0.02611,0.00151847,0.00151847,0.00151847
11,4132.96,1.83485,1.35998,0.02345,0.66538,0.6071,0.63208,0.27242,1.96055,1.18786,0.0249,0.00150197,0.00150197,0.00150197
12,4492.94,1.84128,1.33619,0.02374,0.78311,0.63021,0.68504,0.2926,1.95043,1.09621,0.02485,0.00148546,0.00148546,0.00148546
13,4858.74,1.83722,1.34826,0.02376,0.70894,0.62948,0.65012,0.27986,2.01517,1.14249,0.02573,0.00146896,0.00146896,0.00146896
14,5224.12,1.83155,1.29011,0.02306,0.75231,0.61252,0.6883,0.28846,2.00657,1.07912,0.02469,0.00145246,0.00145246,0.00145246
15,5585.95,1.80156,1.22687,0.02177,0.74732,0.67626,0.68313,0.31413,1.88804,1.06566,0.02314,0.00143595,0.00143595,0.00143595
16,5946.68,1.74313,1.21776,0.02158,0.79642,0.64412,0.70119,0.33006,1.89568,1.04335,0.02247,0.00141945,0.00141945,0.00141945
17,6307.52,1.77894,1.22667,0.0221,0.75529,0.67704,0.68427,0.32363,1.87477,1.10769,0.02245,0.00140295,0.00140295,0.00140295
18,6672.09,1.77527,1.25092,0.02149,0.8217,0.60623,0.68969,0.32012,1.92738,1.06061,0.02361,0.00138644,0.00138644,0.00138644
19,7037.58,1.74448,1.1461,0.02127,0.75132,0.69798,0.70233,0.32378,1.90881,0.99065,0.02337,0.00136994,0.00136994,0.00136994
20,7406.59,1.73404,1.1765,0.02029,0.79655,0.65815,0.73002,0.35357,1.88937,0.99277,0.02233,0.00135344,0.00135344,0.00135344
21,7769.91,1.76716,1.21912,0.02129,0.7817,0.65591,0.71554,0.32819,1.88903,1.00983,0.02319,0.00133693,0.00133693,0.00133693
22,8133.16,1.73462,1.1721,0.02113,0.82392,0.7079,0.74099,0.34163,1.89508,1.0132,0.02327,0.00132043,0.00132043,0.00132043
23,8494.47,1.7184,1.12231,0.02095,0.80268,0.68902,0.71547,0.34739,1.89862,0.93967,0.02264,0.00130393,0.00130393,0.00130393
24,8858.93,1.67918,1.07456,0.01948,0.8115,0.68303,0.72842,0.34875,1.88552,1.01047,0.02248,0.00128742,0.00128742,0.00128742
25,9218.23,1.68397,1.11487,0.02071,0.81724,0.70271,0.73697,0.34792,1.89582,1.02448,0.02242,0.00127092,0.00127092,0.00127092
26,9579.83,1.6823,1.10253,0.0202,0.85867,0.66259,0.75522,0.34905,1.88533,0.90774,0.02334,0.00125442,0.00125442,0.00125442
27,10061.9,1.70056,1.11872,0.01922,0.77937,0.7081,0.74447,0.36912,1.87008,0.91853,0.02183,0.00123791,0.00123791,0.00123791
28,10527.3,1.68049,1.08422,0.02023,0.78368,0.69922,0.72562,0.33755,1.90388,1.05457,0.02377,0.00122141,0.00122141,0.00122141
29,10957.9,1.66495,1.05226,0.01832,0.84973,0.68593,0.74437,0.34956,1.84903,0.93811,0.02286,0.00120491,0.00120491,0.00120491
30,11307.9,1.6587,1.04948,0.01939,0.83028,0.71228,0.74865,0.37706,1.80104,0.94849,0.02093,0.0011884,0.0011884,0.0011884
31,11652,1.64903,1.04012,0.01847,0.84359,0.70397,0.74817,0.37781,1.83615,0.91316,0.02134,0.0011719,0.0011719,0.0011719
32,12000.2,1.62771,1.02302,0.01816,0.81701,0.69123,0.74078,0.37672,1.79266,0.96155,0.01971,0.0011554,0.0011554,0.0011554
33,12345,1.6172,1.03659,0.01851,0.81932,0.67798,0.73219,0.36513,1.82347,0.94896,0.02055,0.00113889,0.00113889,0.00113889
34,12690.9,1.61791,1.00214,0.01817,0.82571,0.7051,0.74644,0.36208,1.90131,0.95624,0.02223,0.00112239,0.00112239,0.00112239
35,13039.5,1.63043,0.9978,0.01791,0.8288,0.6965,0.75263,0.38732,1.77467,0.89476,0.01982,0.00110589,0.00110589,0.00110589
36,13385.9,1.60253,1.01134,0.0181,0.84231,0.71422,0.77036,0.38526,1.8064,0.8953,0.02059,0.00108938,0.00108938,0.00108938
37,13743.2,1.60846,0.97316,0.01796,0.87544,0.71057,0.77861,0.3757,1.84858,0.89339,0.02157,0.00107288,0.00107288,0.00107288
38,14089.9,1.6194,0.95949,0.01737,0.83122,0.72155,0.76497,0.3752,1.82139,0.89848,0.02054,0.00105638,0.00105638,0.00105638
39,14437,1.58939,0.95971,0.01759,0.80481,0.71432,0.75738,0.39306,1.79846,0.8864,0.02016,0.00103987,0.00103987,0.00103987
40,14785.4,1.60381,0.9632,0.0173,0.81739,0.68264,0.75717,0.381,1.81997,0.92466,0.02065,0.00102337,0.00102337,0.00102337
41,15130.2,1.60882,0.97971,0.01746,0.87584,0.72434,0.7868,0.38453,1.81135,0.90417,0.02016,0.00100687,0.00100687,0.00100687
42,15479.3,1.60888,0.93011,0.01762,0.86298,0.6904,0.75089,0.39549,1.79751,0.86463,0.01927,0.000990365,0.000990365,0.000990365
43,15823.1,1.58481,0.918,0.01696,0.87224,0.70809,0.77477,0.38854,1.77441,0.86596,0.02016,0.000973861,0.000973861,0.000973861
44,16169.2,1.56526,0.92286,0.01741,0.84022,0.69788,0.76448,0.3992,1.78334,0.8593,0.01992,0.000957358,0.000957358,0.000957358
45,16516.2,1.57721,0.92197,0.0168,0.89314,0.69998,0.77319,0.38344,1.80819,0.89908,0.02027,0.000940855,0.000940855,0.000940855
46,16860.6,1.53982,0.90533,0.01617,0.84797,0.7027,0.75588,0.38981,1.75961,0.88686,0.01941,0.000924352,0.000924352,0.000924352
47,17207.1,1.54121,0.92918,0.01676,0.86169,0.7047,0.77815,0.40103,1.76979,0.86994,0.01953,0.000907848,0.000907848,0.000907848
48,17549.9,1.5524,0.92126,0.01725,0.85356,0.6977,0.75949,0.38875,1.80225,0.87525,0.02016,0.000891345,0.000891345,0.000891345
49,17895,1.54598,0.89239,0.01667,0.82857,0.72201,0.77598,0.39742,1.76338,0.87728,0.019,0.000874842,0.000874842,0.000874842
50,18244.3,1.53497,0.87291,0.0164,0.86228,0.69415,0.78379,0.41142,1.74755,0.86473,0.01909,0.000858338,0.000858338,0.000858338
51,18586.9,1.52528,0.89129,0.01648,0.89495,0.70325,0.78234,0.40433,1.75406,0.90112,0.01856,0.000841835,0.000841835,0.000841835
52,18932.4,1.52453,0.89481,0.01596,0.8313,0.72037,0.75548,0.39486,1.77452,0.88908,0.01946,0.000825332,0.000825332,0.000825332
