epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,19277.8,1.53101,0.88497,0.01666,0.88659,0.72963,0.79138,0.41951,1.74834,0.84204,0.01879,0.000808828,0.000808828,0.000808828
54,19626.1,1.51653,0.89113,0.01589,0.87449,0.72718,0.78054,0.4067,1.75115,0.856,0.01964,0.000792325,0.000792325,0.000792325
55,19971.2,1.50375,0.86154,0.01608,0.8811,0.74067,0.78961,0.42399,1.71761,0.8644,0.01832,0.000775822,0.000775822,0.000775822
56,20321.7,1.52831,0.85612,0.01597,0.86272,0.71629,0.77689,0.40288,1.75609,0.87694,0.01851,0.000759318,0.000759318,0.000759318
57,20676.1,1.49548,0.85601,0.0154,0.89628,0.73114,0.79392,0.40923,1.71962,0.86772,0.01826,0.000742815,0.000742815,0.000742815
58,21024.8,1.4825,0.85252,0.01541,0.842,0.74022,0.79062,0.41734,1.75196,0.84219,0.01863,0.000726312,0.000726312,0.000726312
59,21373.5,1.49353,0.88467,0.01609,0.84807,0.74064,0.7875,0.4226,1.71484,0.85932,0.01804,0.000709809,0.000709809,0.000709809
60,21721.1,1.48508,0.86888,0.01619,0.86055,0.73154,0.78459,0.42047,1.72227,0.85312,0.01811,0.000693305,0.000693305,0.000693305
61,22067.2,1.48965,0.83815,0.01528,0.85781,0.71841,0.78655,0.41139,1.75243,0.84538,0.01865,0.000676802,0.000676802,0.000676802
62,22413.9,1.48588,0.84813,0.0161,0.84777,0.73813,0.79979,0.42887,1.72874,0.829,0.01802,0.000660299,0.000660299,0.000660299
63,22758.2,1.47344,0.83513,0.01547,0.90151,0.74946,0.79086,0.42166,1.74133,0.83547,0.01787,0.000643795,0.000643795,0.000643795
64,23100.4,1.47191,0.8512,0.01523,0.89135,0.74404,0.80482,0.41983,1.75203,0.83017,0.01839,0.000627292,0.000627292,0.000627292
65,23441.3,1.49932,0.83636,0.01576,0.84873,0.74051,0.79544,0.42006,1.72487,0.83784,0.01819,0.000610789,0.000610789,0.000610789
66,23783.3,1.45812,0.80382,0.01548,0.9085,0.72753,0.79984,0.41756,1.72385,0.85043,0.01785,0.000594286,0.000594286,0.000594286
67,24123.3,1.46147,0.79737,0.0148,0.88419,0.75025,0.80519,0.4283,1.74551,0.83456,0.01823,0.000577782,0.000577782,0.000577782
68,24467.3,1.48643,0.83333,0.01507,0.88392,0.74099,0.79636,0.43095,1.75351,0.82829,0.01812,0.000561279,0.000561279,0.000561279
69,24808.5,1.46032,0.80606,0.01513,0.88693,0.73922,0.80258,0.42183,1.74731,0.84604,0.01798,0.000544776,0.000544776,0.000544776
70,25154.9,1.46578,0.78868,0.01502,0.93113,0.73152,0.81713,0.43615,1.74908,0.82815,0.01787,0.000528272,0.000528272,0.000528272
71,25495.3,1.45793,0.7929,0.01531,0.89352,0.74196,0.79087,0.43027,1.73626,0.82723,0.01775,0.000511769,0.000511769,0.000511769
72,25834.1,1.47456,0.81932,0.01504,0.88988,0.73767,0.79329,0.43264,1.72366,0.8338,0.01807,0.000495266,0.000495266,0.000495266
73,26175.4,1.43091,0.81904,0.01456,0.88805,0.73884,0.79649,0.42649,1.72215,0.84044,0.0176,0.000478762,0.000478762,0.000478762
74,26515.4,1.43503,0.80001,0.01454,0.87144,0.74515,0.79283,0.43185,1.72801,0.818,0.01782,0.000462259,0.000462259,0.000462259
75,26857.7,1.42553,0.74905,0.01469,0.87757,0.73249,0.78356,0.42375,1.75727,0.81962,0.01803,0.000445756,0.000445756,0.000445756
76,27199.2,1.41312,0.7788,0.01442,0.85018,0.7574,0.79035,0.42684,1.74552,0.82589,0.01782,0.000429253,0.000429253,0.000429253
77,27541.3,1.43972,0.7854,0.0144,0.88605,0.74301,0.80236,0.43648,1.7385,0.80811,0.01767,0.000412749,0.000412749,0.000412749
78,27884.8,1.44946,0.79272,0.01419,0.88756,0.74626,0.7933,0.4294,1.73575,0.81229,0.01759,0.000396246,0.000396246,0.000396246
79,28226.5,1.43611,0.74968,0.015,0.90892,0.75341,0.80499,0.44157,1.71363,0.81851,0.01757,0.000379743,0.000379743,0.000379743
80,28570.1,1.42206,0.76069,0.01417,0.89625,0.72294,0.79306,0.43035,1.74524,0.79724,0.01786,0.000363239,0.000363239,0.000363239
81,28913.1,1.43663,0.78576,0.01413,0.90191,0.74502,0.80371,0.44157,1.75072,0.77613,0.01783,0.000346736,0.000346736,0.000346736
82,29251.5,1.39704,0.76266,0.01451,0.91488,0.72724,0.81272,0.43862,1.7296,0.79197,0.01767,0.000330233,0.000330233,0.000330233
83,29591.7,1.3839,0.74436,0.0135,0.93349,0.74991,0.81492,0.43798,1.74403,0.78273,0.01775,0.000313729,0.000313729,0.000313729
84,29929.9,1.4146,0.76932,0.01414,0.90867,0.74953,0.80252,0.43667,1.73528,0.78026,0.01754,0.000297226,0.000297226,0.000297226
85,30266.4,1.42111,0.74915,0.01408,0.90539,0.73512,0.79644,0.43902,1.7374,0.79662,0.01764,0.000280723,0.000280723,0.000280723
86,30601.1,1.4096,0.75459,0.0137,0.89881,0.75335,0.80091,0.43705,1.72362,0.7991,0.01745,0.00026422,0.00026422,0.00026422
87,30936.1,1.39462,0.7592,0.01422,0.88123,0.75256,0.80222,0.43765,1.72502,0.7906,0.0174,0.000247716,0.000247716,0.000247716
88,31269,1.39623,0.74861,0.01348,0.91015,0.74965,0.8133,0.44233,1.72127,0.7834,0.0174,0.000231213,0.000231213,0.000231213
89,31604.7,1.40091,0.76167,0.01358,0.89727,0.75376,0.8113,0.4455,1.7107,0.79386,0.01727,0.00021471,0.00021471,0.00021471
90,31940.4,1.41028,0.76494,0.01388,0.91128,0.72978,0.79965,0.44072,1.71867,0.8043,0.01735,0.000198206,0.000198206,0.000198206
91,32341.2,1.39396,0.62565,0.01354,0.89823,0.74638,0.79168,0.42495,1.74484,0.80473,0.01782,0.000181703,0.000181703,0.000181703
92,32669.1,1.4018,0.61933,0.01375,0.89949,0.73997,0.79609,0.43163,1.73772,0.80098,0.01744,0.0001652,0.0001652,0.0001652
93,32997.7,1.37622,0.60272,0.01334,0.89753,0.7329,0.7967,0.43262,1.73112,0.78848,0.01738,0.000148696,0.000148696,0.000148696
94,33326.4,1.38695,0.58588,0.01299,0.89122,0.7581,0.80634,0.4384,1.73662,0.76866,0.01752,0.000132193,0.000132193,0.000132193
95,33653.7,1.38185,0.57408,0.01284,0.89317,0.7513,0.80925,0.43716,1.74313,0.75518,0.01748,0.00011569,0.00011569,0.00011569
96,33982.6,1.36562,0.58276,0.01247,0.89284,0.75387,0.80884,0.43855,1.72944,0.76857,0.0173,9.91865e-05,9.91865e-05,9.91865e-05
97,34316.6,1.37628,0.59516,0.01293,0.90773,0.74805,0.81275,0.4386,1.73347,0.76378,0.01727,8.26832e-05,8.26832e-05,8.26832e-05
98,34650.7,1.38656,0.58605,0.01289,0.88989,0.74847,0.81325,0.43681,1.73286,0.76521,0.01733,6.61799e-05,6.61799e-05,6.61799e-05
99,34982.9,1.36618,0.57898,0.01281,0.90565,0.75178,0.81453,0.44032,1.733,0.76286,0.01735,4.96766e-05,4.96766e-05,4.96766e-05
100,35316.5,1.36251,0.57069,0.01252,0.90013,0.75627,0.81504,0.44086,1.73165,0.76197,0.01731,3.31733e-05,3.31733e-05,3.31733e-05
