epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1539.73,2.0847,4.18591,0.00345,0.51463,0.35652,0.35867,0.1488,2.59635,2.37583,0.00395,0.000554865,0.000554865,0.000554865
2,3076.03,2.10209,1.37323,0.00344,0.6586,0.33292,0.38724,0.16142,2.65834,2.47954,0.00393,0.00107388,0.00107388,0.00107388
3,4638.54,2.08107,1.27787,0.00342,0.59723,0.44766,0.45124,0.16913,2.65758,2.02572,0.00411,0.00155623,0.00155623,0.00155623
4,6199.63,2.03855,1.18219,0.00329,0.65535,0.32757,0.3713,0.15541,2.60604,2.23233,0.00396,0.00150197,0.00150197,0.00150197
5,7780.34,1.97448,1.11411,0.00311,0.60224,0.45238,0.47344,0.19143,2.66413,2.13142,0.00396,0.00144696,0.00144696,0.00144696
6,9361.58,1.91083,1.05864,0.00296,0.62884,0.43822,0.476,0.18302,2.62333,1.79963,0.0042,0.00139195,0.00139195,0.00139195
7,10976.6,1.88821,1.00478,0.00292,0.62755,0.45347,0.47628,0.19056,2.51622,1.88422,0.00381,0.00133693,0.00133693,0.00133693
8,12583.9,1.84466,0.97125,0.00283,0.70229,0.35014,0.39043,0.14949,2.74399,2.14689,0.00455,0.00128192,0.00128192,0.00128192
9,14141.6,1.83085,0.95716,0.00277,0.65791,0.48817,0.51211,0.19142,2.60206,1.8664,0.00392,0.00122691,0.00122691,0.00122691
10,15707.4,1.77826,0.90759,0.00265,0.69096,0.52957,0.5761,0.25636,2.2948,1.69983,0.0033,0.0011719,0.0011719,0.0011719
11,17452.8,1.76324,0.90134,0.00262,0.6906,0.51883,0.54557,0.22161,2.46832,1.7167,0.00367,0.00111689,0.00111689,0.00111689
12,19612.7,1.73597,0.85079,0.00256,0.72017,0.47728,0.54707,0.22358,2.44049,1.82805,0.00374,0.00106188,0.00106188,0.00106188
13,21209.3,1.70952,0.83672,0.00249,0.68615,0.49378,0.54395,0.22617,2.52765,1.73138,0.00384,0.00100687,0.00100687,0.00100687
14,22741.4,1.68883,0.80753,0.00249,0.64141,0.41394,0.4545,0.19441,2.49213,2.05115,0.00388,0.000951857,0.000951857,0.000951857
15,24305.7,1.65487,0.78568,0.00241,0.72075,0.47676,0.52677,0.22962,2.39475,1.95041,0.00361,0.000896846,0.000896846,0.000896846
16,25928,1.63659,0.77208,0.00238,0.68214,0.47775,0.48896,0.19164,2.65003,1.83976,0.00401,0.000841835,0.000841835,0.000841835
17,27533.3,1.63969,0.75531,0.00234,0.7138,0.49113,0.54114,0.22536,2.47648,1.797,0.00368,0.000786824,0.000786824,0.000786824
