epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15073.5,1.35495,1.22908,0.01237,0.83567,0.66756,0.73394,0.4822,1.8187,1.29921,0.0098,0.00999817,0.00333272,0.00999817,0.00333272,0.00999817,0.00333272,0.00999817,0.00333272
2,30041.2,1.38366,1.2435,0.01273,0.8182,0.66269,0.73082,0.4785,1.78054,1.33983,0.0099,0.0193382,0.00644608,0.0193382,0.00644608,0.0193382,0.00644608,0.0193382,0.00644608
3,43372.2,1.46689,1.34601,0.01377,0.80716,0.65953,0.72935,0.46158,1.8174,1.39608,0.01053,0.0280183,0.00933943,0.0280183,0.00933943,0.0280183,0.00933943,0.0280183,0.00933943
4,57379.9,1.53187,1.44829,0.01449,0.80126,0.638,0.71683,0.46487,1.78218,1.40807,0.01029,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,69263.8,1.52109,1.42488,0.01429,0.82355,0.65085,0.72496,0.47538,1.75999,1.37803,0.01006,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,81577.4,1.5003,1.40208,0.0141,0.81696,0.66,0.72737,0.47582,1.77869,1.35933,0.01006,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,95419.6,1.48538,1.37098,0.0139,0.82471,0.65383,0.73051,0.48149,1.75461,1.35402,0.00985,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,108332,1.47498,1.35002,0.01375,0.81732,0.66153,0.73587,0.48816,1.73743,1.33411,0.00968,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,121052,1.4637,1.33198,0.01362,0.81601,0.67735,0.74633,0.4933,1.74676,1.30771,0.00962,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,134807,1.44783,1.30968,0.0134,0.82668,0.67655,0.752,0.49959,1.73746,1.29523,0.0095,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,151015,1.43439,1.28696,0.01311,0.82427,0.67387,0.74594,0.49851,1.73767,1.29667,0.00947,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,163662,1.43248,1.26416,0.01311,0.82267,0.67386,0.74795,0.50266,1.73224,1.29777,0.00939,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,176405,1.41431,1.24807,0.01293,0.81897,0.67196,0.746,0.50362,1.72364,1.29994,0.00927,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,188768,1.40547,1.2325,0.01281,0.82507,0.67237,0.7476,0.5064,1.72271,1.29471,0.00922,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,202645,1.39645,1.21136,0.01265,0.82873,0.67397,0.7492,0.50786,1.7267,1.28611,0.00925,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,217086,1.37606,1.20092,0.01246,0.82721,0.67801,0.75095,0.50891,1.72574,1.27719,0.00922,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,229779,1.36636,1.18079,0.01234,0.81959,0.68132,0.74926,0.50769,1.72333,1.27531,0.00922,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,241842,1.35542,1.16385,0.01212,0.80053,0.68023,0.73326,0.49562,1.72676,1.28442,0.00923,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,254182,1.3426,1.14207,0.012,0.79931,0.67599,0.73974,0.50174,1.72739,1.27722,0.00922,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,268365,1.32715,1.12058,0.01178,0.81666,0.67184,0.74569,0.50532,1.72247,1.26638,0.00918,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,282690,1.32178,0.93938,0.01345,0.82632,0.67358,0.7534,0.5108,1.72253,1.25637,0.00914,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,302858,1.29651,0.90436,0.01307,0.81157,0.67943,0.75337,0.51241,1.72285,1.25846,0.0091,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,338438,1.27136,0.87725,0.0127,0.82181,0.67695,0.75511,0.51412,1.72529,1.25521,0.00907,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,351048,1.25041,0.84258,0.01235,0.8213,0.67383,0.75434,0.51574,1.72947,1.25557,0.00903,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,363134,1.22713,0.81953,0.01206,0.81458,0.67687,0.7564,0.51855,1.72945,1.25493,0.00897,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,377994,1.20337,0.79255,0.0117,0.81734,0.68055,0.75837,0.52145,1.72896,1.25338,0.00893,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,393098,1.18513,0.7555,0.01144,0.8144,0.68505,0.7604,0.52318,1.73111,1.25083,0.00888,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,405154,1.15632,0.73775,0.01112,0.80982,0.69026,0.76171,0.52528,1.7278,1.2505,0.00882,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,417046,1.13664,0.71395,0.0108,0.81767,0.68788,0.76226,0.52684,1.72381,1.25351,0.00876,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,429557,1.11647,0.70041,0.01061,0.82259,0.69024,0.76486,0.52938,1.72167,1.25206,0.00873,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
