epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2338.31,2.42327,2.99564,0.06461,0.69848,0.71124,0.72503,0.37196,1.77443,1.18161,0.05741,0.00998841,0.00332947,0.00998841,0.00332947,0.00998841,0.00332947,0.00998841,0.00332947
2,4450.29,1.55572,1.12715,0.0361,0.83375,0.80083,0.82942,0.46266,1.59354,0.81433,0.04962,0.0195926,0.00653088,0.0195926,0.00653088,0.0195926,0.00653088,0.0195926,0.00653088
3,6524.41,1.3282,0.97464,0.02903,0.84808,0.82038,0.85293,0.49085,1.48974,0.80025,0.04627,0.0288009,0.00960029,0.0288009,0.00960029,0.0288009,0.00960029,0.0288009,0.00960029
4,8564.82,1.25448,0.90493,0.02689,0.86588,0.85514,0.89112,0.52195,1.45327,0.68042,0.04342,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,10520.9,1.20358,0.83216,0.02547,0.8806,0.8537,0.89531,0.52998,1.43451,0.66963,0.04381,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,12597.3,1.16593,0.79884,0.02449,0.90647,0.87793,0.92612,0.56688,1.36667,0.62703,0.04098,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,14707.6,1.15572,0.76808,0.02384,0.8755,0.86431,0.90836,0.55712,1.34505,0.64026,0.03933,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,16738,1.13754,0.7371,0.02368,0.89387,0.89481,0.92402,0.5784,1.29852,0.59916,0.0382,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,18867.6,1.12563,0.71358,0.02325,0.90213,0.89138,0.9289,0.587,1.29474,0.59052,0.03801,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,21006.3,1.11584,0.71054,0.02287,0.91386,0.88062,0.93103,0.59886,1.27694,0.54419,0.03711,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,23078.8,1.10958,0.69012,0.02271,0.89392,0.88537,0.92138,0.59513,1.26411,0.57529,0.03667,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,25187.3,1.09732,0.68065,0.02238,0.90635,0.89578,0.93532,0.60564,1.24063,0.56602,0.03623,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,27296,1.08548,0.67409,0.02211,0.91363,0.90929,0.93839,0.60405,1.23484,0.539,0.03559,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,29398.7,1.07592,0.65826,0.02186,0.91081,0.89725,0.9397,0.61373,1.24113,0.53944,0.03583,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,31468.4,1.07014,0.64409,0.02177,0.92443,0.90997,0.9474,0.60735,1.25288,0.53778,0.03666,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,33641.5,1.06038,0.63781,0.0215,0.93743,0.89127,0.9439,0.61645,1.22665,0.53714,0.03556,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,35818.6,1.05027,0.6286,0.0214,0.92052,0.90753,0.94455,0.62016,1.21507,0.53305,0.03533,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,37918.5,1.04828,0.62888,0.0213,0.94174,0.92254,0.95205,0.62958,1.20735,0.48864,0.03447,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,39996.6,1.04255,0.61473,0.02105,0.92818,0.90704,0.94726,0.61467,1.23436,0.50329,0.03583,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,42066.2,1.04226,0.62426,0.02109,0.92327,0.92709,0.95271,0.62756,1.19915,0.48512,0.03465,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,44027.3,1.0256,0.61035,0.02051,0.93896,0.92416,0.95297,0.63198,1.18376,0.47933,0.03395,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,45948.9,1.02598,0.59407,0.0205,0.94353,0.91918,0.95801,0.63701,1.17413,0.47693,0.03322,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,47965.6,1.01924,0.59946,0.02036,0.94642,0.92123,0.95719,0.6319,1.17262,0.45655,0.03349,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
