epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
24,49997.1,1.00762,0.59351,0.02013,0.94298,0.92759,0.95805,0.6397,1.17742,0.45901,0.03345,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,51930.4,0.99208,0.57426,0.01985,0.9447,0.92416,0.9559,0.64103,1.15677,0.46372,0.03283,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,53877,0.99623,0.58058,0.02004,0.95144,0.93835,0.9612,0.64148,1.15484,0.4467,0.0329,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,55910.4,0.99071,0.57244,0.01969,0.95271,0.92807,0.96334,0.64485,1.15731,0.44242,0.03292,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,57962.3,0.98254,0.55284,0.01965,0.94379,0.92755,0.95876,0.64265,1.15497,0.44922,0.03265,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,60030.9,0.98407,0.5486,0.01947,0.9409,0.93809,0.95994,0.64405,1.1597,0.43343,0.03274,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,62089.4,0.97553,0.5421,0.01937,0.93605,0.94471,0.96234,0.65068,1.14717,0.43655,0.03246,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,64167.8,0.97421,0.55704,0.01923,0.95008,0.93933,0.96238,0.65366,1.12744,0.43548,0.03168,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,66256.3,0.97315,0.54668,0.01929,0.94758,0.94004,0.96054,0.65176,1.12738,0.43245,0.03182,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,68354.2,0.96001,0.53793,0.01897,0.94865,0.935,0.96276,0.65217,1.12962,0.43043,0.03194,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,70459.5,0.9618,0.53286,0.01896,0.94885,0.94324,0.96391,0.65329,1.13281,0.42357,0.03174,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,72582.4,0.95004,0.52608,0.01873,0.94963,0.94178,0.96542,0.65615,1.12691,0.4221,0.03165,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,74715.2,0.93485,0.53276,0.01864,0.95054,0.94275,0.96607,0.65661,1.13352,0.4212,0.03179,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,76814,0.93731,0.52315,0.01844,0.95038,0.94798,0.96618,0.65729,1.12808,0.43281,0.03177,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,78777.1,0.934,0.50972,0.01841,0.95448,0.94709,0.96598,0.65874,1.13008,0.41648,0.03167,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,80755.5,0.93098,0.51972,0.01844,0.94415,0.94817,0.96364,0.65289,1.13561,0.43863,0.032,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,82856.6,0.92378,0.50648,0.01824,0.94851,0.95009,0.96602,0.65867,1.12123,0.41945,0.03131,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,84954.6,0.8982,0.37372,0.02227,0.93611,0.93981,0.96324,0.65282,1.14594,0.43694,0.03249,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,87053.8,0.86722,0.36878,0.02126,0.94353,0.92701,0.9617,0.6495,1.13296,0.45399,0.03192,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,89184.2,0.84958,0.35623,0.02071,0.94457,0.93834,0.96282,0.65495,1.12233,0.43135,0.03153,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,91241,0.84731,0.35756,0.02055,0.92331,0.93479,0.96014,0.65386,1.13269,0.45445,0.03205,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,93277,0.84541,0.34949,0.02052,0.92975,0.93981,0.96191,0.64889,1.14369,0.44639,0.03254,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,95286,0.84054,0.34416,0.0204,0.9423,0.93589,0.96275,0.64543,1.16384,0.44182,0.0333,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,97310.9,0.82727,0.32843,0.0197,0.9462,0.93785,0.96332,0.6494,1.14632,0.43847,0.03254,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,99335.4,0.82782,0.33096,0.01978,0.95209,0.93414,0.9633,0.65212,1.1439,0.43727,0.03237,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
