epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,8147.57,2.39596,1.27397,0.00314,0.90513,0.72606,0.81038,0.29767,2.50899,1.11604,0.00384,0.0011719,0.0011719,0.0011719
32,8404.59,2.39137,1.31894,0.00298,0.89813,0.76772,0.83267,0.31433,2.49403,0.98379,0.0039,0.0011554,0.0011554,0.0011554
33,8663.27,2.36604,1.33206,0.00296,0.91522,0.73089,0.78679,0.28355,2.49843,1.11998,0.00375,0.00113889,0.00113889,0.00113889
34,8923.14,2.35651,1.26367,0.003,0.85485,0.757,0.77183,0.28977,2.45149,1.15105,0.00374,0.00112239,0.00112239,0.00112239
35,9182.51,2.37586,1.29412,0.00294,0.84924,0.77145,0.79756,0.31006,2.50503,1.02151,0.00386,0.00110589,0.00110589,0.00110589
36,9439.9,2.4377,1.3126,0.003,0.89738,0.78426,0.84002,0.29929,2.50819,0.98915,0.0038,0.00108938,0.00108938,0.00108938
37,9697.19,2.31503,1.25342,0.00286,0.9021,0.7155,0.81286,0.31183,2.42632,1.09401,0.00377,0.00107288,0.00107288,0.00107288
38,9956.57,2.35321,1.2442,0.0029,0.89425,0.75262,0.823,0.31369,2.47718,0.9757,0.00367,0.00105638,0.00105638,0.00105638
39,10212,2.31593,1.21659,0.00283,0.84663,0.80204,0.82894,0.3192,2.45557,1.01838,0.00381,0.00103987,0.00103987,0.00103987
40,10469.3,2.2866,1.26354,0.00286,0.86999,0.76589,0.81801,0.31831,2.41642,1.02016,0.00368,0.00102337,0.00102337,0.00102337
41,10727.5,2.29579,1.26305,0.00288,0.86446,0.77044,0.7957,0.28626,2.57432,0.89999,0.00384,0.00100687,0.00100687,0.00100687
42,10984.3,2.33774,1.1913,0.00286,0.89045,0.74975,0.80775,0.30735,2.48638,1.06062,0.00379,0.000990365,0.000990365,0.000990365
43,11239.8,2.31311,1.23183,0.00281,0.90415,0.78821,0.83985,0.30127,2.56528,0.94472,0.00391,0.000973861,0.000973861,0.000973861
44,11493.8,2.29246,1.21122,0.00287,0.87782,0.80573,0.86425,0.33286,2.49987,0.89633,0.00377,0.000957358,0.000957358,0.000957358
45,11749.6,2.29096,1.2131,0.00283,0.91644,0.80459,0.83303,0.31201,2.45701,0.91213,0.00375,0.000940855,0.000940855,0.000940855
46,12094.6,2.27217,1.19672,0.00282,0.85632,0.79241,0.81709,0.3093,2.48475,0.95775,0.00381,0.000924352,0.000924352,0.000924352
47,12434.5,2.30973,1.19804,0.00278,0.87581,0.78885,0.83478,0.29547,2.49333,0.99887,0.00377,0.000907848,0.000907848,0.000907848
48,12694.5,2.26963,1.18465,0.00282,0.86503,0.82376,0.85839,0.31116,2.49539,0.96334,0.00381,0.000891345,0.000891345,0.000891345
49,12956,2.21629,1.1378,0.00268,0.9177,0.80421,0.84016,0.32444,2.44576,0.92015,0.00369,0.000874842,0.000874842,0.000874842
50,13217.7,2.27978,1.17572,0.00279,0.85482,0.82172,0.81928,0.30884,2.47717,0.94119,0.00367,0.000858338,0.000858338,0.000858338
51,13479.7,2.26422,1.16297,0.00277,0.89101,0.79103,0.82602,0.30629,2.49299,0.92428,0.00372,0.000841835,0.000841835,0.000841835
52,13743.4,2.21305,1.16336,0.00268,0.88395,0.79855,0.82502,0.31037,2.47464,0.9031,0.00362,0.000825332,0.000825332,0.000825332
53,14113.2,2.18466,1.1278,0.00266,0.91433,0.82145,0.86665,0.32697,2.46518,0.93858,0.00367,0.000808828,0.000808828,0.000808828
54,14452.4,2.18174,1.17056,0.00267,0.9213,0.80789,0.85759,0.32135,2.46488,0.91785,0.00367,0.000792325,0.000792325,0.000792325
55,14722.1,2.17582,1.16111,0.00261,0.95702,0.79277,0.84852,0.31019,2.53184,0.92971,0.00377,0.000775822,0.000775822,0.000775822
56,14989.9,2.20676,1.11904,0.00269,0.89631,0.81284,0.85064,0.32623,2.42606,0.90512,0.00363,0.000759318,0.000759318,0.000759318
57,15255.6,2.18416,1.14836,0.00257,0.92085,0.8296,0.86646,0.31853,2.50801,0.89207,0.0038,0.000742815,0.000742815,0.000742815
58,15519.9,2.17243,1.15342,0.00261,0.88315,0.81678,0.8416,0.32054,2.4621,0.83149,0.00373,0.000726312,0.000726312,0.000726312
59,15785.3,2.19602,1.11277,0.00261,0.91678,0.8089,0.84759,0.31066,2.51001,0.8971,0.00383,0.000709809,0.000709809,0.000709809
60,16047.5,2.16331,1.11662,0.00263,0.90271,0.80396,0.83246,0.29921,2.52402,0.88597,0.0038,0.000693305,0.000693305,0.000693305
61,16311.6,2.19369,1.11408,0.00256,0.92831,0.80343,0.84182,0.31584,2.55336,0.85181,0.00379,0.000676802,0.000676802,0.000676802
62,16573.1,2.16768,1.10833,0.00259,0.89226,0.80425,0.84392,0.298,2.54429,0.89176,0.0038,0.000660299,0.000660299,0.000660299
63,16833.2,2.14025,1.09238,0.00251,0.91384,0.81891,0.84256,0.31593,2.52171,0.87926,0.00378,0.000643795,0.000643795,0.000643795
64,17091.2,2.1436,1.11544,0.00255,0.912,0.79992,0.83773,0.31826,2.52245,0.85445,0.00378,0.000627292,0.000627292,0.000627292
