epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.076,3.42288,2.88345,0.00629,0.80999,0.60246,0.67015,0.21984,2.59038,1.41215,0.00425,0.000550324,0.000550324,0.000550324
2,635.179,2.97845,1.89843,0.0043,0.83839,0.62827,0.74986,0.25936,2.56958,1.3854,0.00391,0.00109504,0.00109504,0.00109504
3,895.211,2.80851,1.82328,0.00401,0.83232,0.57935,0.67873,0.23607,2.56001,1.37454,0.00393,0.00162876,0.00162876,0.00162876
4,1153.15,2.69848,1.76634,0.00377,0.88277,0.68181,0.75804,0.26436,2.57551,1.34948,0.00393,0.00161749,0.00161749,0.00161749
5,1412.51,2.69596,1.69011,0.0037,0.75057,0.65324,0.70823,0.23264,2.75158,1.37026,0.00423,0.00160099,0.00160099,0.00160099
6,1670.37,2.70431,1.69539,0.00373,0.87263,0.66579,0.70046,0.26355,2.56658,1.34182,0.00406,0.00158448,0.00158448,0.00158448
7,1931.11,2.6886,1.66603,0.00363,0.86001,0.66212,0.76805,0.28134,2.53119,1.28048,0.00385,0.00156798,0.00156798,0.00156798
8,2190.07,2.59194,1.63266,0.00343,0.84901,0.64436,0.69583,0.2725,2.51514,1.30044,0.00398,0.00155148,0.00155148,0.00155148
9,2450.71,2.65232,1.64908,0.00359,0.92992,0.62719,0.75127,0.26555,2.5517,1.2957,0.00386,0.00153497,0.00153497,0.00153497
10,2710.75,2.57887,1.60574,0.00338,0.87309,0.7091,0.76144,0.24908,2.63773,1.16251,0.00397,0.00151847,0.00151847,0.00151847
11,2968.11,2.6136,1.58408,0.00351,0.83114,0.6916,0.77763,0.26746,2.47453,1.13259,0.00369,0.00150197,0.00150197,0.00150197
12,3224.22,2.54895,1.57193,0.00336,0.82508,0.70522,0.75379,0.30014,2.44937,1.17384,0.0038,0.00148546,0.00148546,0.00148546
13,3481.12,2.54565,1.54679,0.0034,0.85029,0.67895,0.75283,0.26509,2.57734,1.07137,0.00392,0.00146896,0.00146896,0.00146896
14,3739.6,2.57398,1.55612,0.00337,0.89275,0.77539,0.81481,0.29,2.49796,1.07706,0.00376,0.00145246,0.00145246,0.00145246
15,3998.03,2.5524,1.51646,0.00329,0.89881,0.74783,0.81052,0.31313,2.41523,1.0649,0.00376,0.00143595,0.00143595,0.00143595
16,4259.33,2.55941,1.53994,0.00332,0.8635,0.73492,0.78876,0.2837,2.5625,1.12146,0.00392,0.00141945,0.00141945,0.00141945
17,4523.45,2.56065,1.54041,0.00334,0.83038,0.71926,0.77171,0.28449,2.45284,1.17415,0.00379,0.00140295,0.00140295,0.00140295
18,4785.93,2.54405,1.49449,0.0032,0.93165,0.72219,0.80197,0.28494,2.50104,1.06861,0.00379,0.00138644,0.00138644,0.00138644
19,5044.3,2.54369,1.52755,0.00331,0.80023,0.73435,0.74622,0.26045,2.57685,1.16539,0.0039,0.00136994,0.00136994,0.00136994
20,5306.93,2.47552,1.43624,0.00316,0.88184,0.78528,0.81526,0.29163,2.59831,0.97495,0.00399,0.00135344,0.00135344,0.00135344
21,5568.33,2.48039,1.44347,0.00323,0.81644,0.57091,0.65808,0.24533,2.64947,1.2421,0.00429,0.00133693,0.00133693,0.00133693
22,5830.38,2.45437,1.43199,0.00318,0.83461,0.7449,0.81188,0.28815,2.52966,1.11147,0.00383,0.00132043,0.00132043,0.00132043
23,6096.52,2.45781,1.45372,0.00314,0.7983,0.78635,0.80918,0.29058,2.50918,1.09017,0.0038,0.00130393,0.00130393,0.00130393
24,6356.36,2.45422,1.33851,0.00312,0.8878,0.74389,0.7823,0.29454,2.56542,1.07035,0.00407,0.00128742,0.00128742,0.00128742
25,6614.95,2.47395,1.42203,0.00309,0.87103,0.78291,0.81784,0.28453,2.504,1.05277,0.00382,0.00127092,0.00127092,0.00127092
26,6869.28,2.46188,1.38038,0.00319,0.83938,0.77306,0.80973,0.30282,2.52761,0.97591,0.00386,0.00125442,0.00125442,0.00125442
27,7127.3,2.4209,1.37414,0.00311,0.88967,0.76065,0.84095,0.30641,2.54567,1.00201,0.00399,0.00123791,0.00123791,0.00123791
28,7382.36,2.43623,1.3825,0.00307,0.86735,0.77835,0.81913,0.30135,2.51174,0.96424,0.00381,0.00122141,0.00122141,0.00122141
29,7636.72,2.45495,1.36624,0.00314,0.83772,0.7764,0.82371,0.29905,2.46253,1.01278,0.00378,0.00120491,0.00120491,0.00120491
30,7891.68,2.38676,1.29166,0.00308,0.82179,0.74288,0.78444,0.31036,2.38619,1.01679,0.00365,0.0011884,0.0011884,0.0011884
