epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1351.43,2.62653,1.96218,0.00352,0.76693,0.65773,0.68522,0.28618,2.05564,1.22414,0.00311,0.000554271,0.000554271,0.000554271
2,2657.3,2.15214,1.33936,0.00249,0.87044,0.72688,0.79971,0.35577,1.91204,1.08465,0.00286,0.00109162,0.00109162,0.00109162
3,3656.88,2.06633,1.22539,0.00236,0.89377,0.70834,0.81665,0.35877,1.87486,1.01006,0.00282,0.00161064,0.00161064,0.00161064
4,4769.51,2.00085,1.15724,0.00226,0.86174,0.73309,0.83129,0.3832,1.80859,0.96916,0.00264,0.00158448,0.00158448,0.00158448
5,5774.14,1.97375,1.10584,0.00221,0.84526,0.76608,0.83552,0.4075,1.76012,0.92688,0.00257,0.00155698,0.00155698,0.00155698
6,6673.93,1.9317,1.08042,0.00218,0.90897,0.77752,0.88533,0.41746,1.76376,0.91271,0.00254,0.00152947,0.00152947,0.00152947
7,7492.06,1.93381,1.04323,0.00216,0.91633,0.82578,0.89228,0.42522,1.73248,0.85376,0.00253,0.00150197,0.00150197,0.00150197
8,8306.7,1.90952,1.0099,0.00211,0.9066,0.80779,0.89966,0.42448,1.73896,0.80162,0.00252,0.00147446,0.00147446,0.00147446
9,9118.19,1.89721,0.95728,0.00206,0.89671,0.76769,0.85808,0.41697,1.85704,0.85023,0.00271,0.00144696,0.00144696,0.00144696
10,9919.4,1.8717,0.97998,0.0021,0.931,0.78189,0.87291,0.43472,1.6628,0.78711,0.00245,0.00141945,0.00141945,0.00141945
11,10720,1.85901,0.94068,0.00208,0.90676,0.76296,0.86112,0.41365,1.76599,0.8396,0.00262,0.00139195,0.00139195,0.00139195
12,11520.1,1.84079,0.93689,0.00203,0.93637,0.79234,0.89522,0.43522,1.64311,0.76182,0.00239,0.00136444,0.00136444,0.00136444
13,12318.5,1.83233,0.9189,0.00202,0.92855,0.78739,0.8866,0.42581,1.7984,0.8936,0.00268,0.00133693,0.00133693,0.00133693
14,13119.4,1.815,0.92303,0.00197,0.93079,0.83599,0.90596,0.43946,1.7176,0.77945,0.0025,0.00130943,0.00130943,0.00130943
15,13908.4,1.83411,0.88704,0.00201,0.95627,0.81356,0.91255,0.44801,1.69773,0.73371,0.00248,0.00128192,0.00128192,0.00128192
16,14707.2,1.78851,0.85015,0.00195,0.94832,0.81163,0.91528,0.45644,1.61894,0.69792,0.00234,0.00125442,0.00125442,0.00125442
17,15503.3,1.80816,0.87996,0.00199,0.96304,0.84093,0.92443,0.45071,1.61295,0.69692,0.00234,0.00122691,0.00122691,0.00122691
18,16298.1,1.7757,0.84425,0.00191,0.94322,0.8417,0.90563,0.44664,1.71283,0.68975,0.0025,0.00119941,0.00119941,0.00119941
19,17089.3,1.78131,0.8356,0.00195,0.87774,0.8298,0.89612,0.44644,1.65465,0.70827,0.00244,0.0011719,0.0011719,0.0011719
20,17873.9,1.749,0.82393,0.0019,0.93127,0.8468,0.9092,0.45161,1.60407,0.67909,0.00231,0.0011444,0.0011444,0.0011444
21,18661.8,1.74335,0.79005,0.00189,0.91792,0.89018,0.91845,0.47662,1.56868,0.65766,0.00225,0.00111689,0.00111689,0.00111689
22,19451.9,1.73848,0.79702,0.00186,0.91827,0.86026,0.91157,0.4716,1.59543,0.67322,0.00233,0.00108938,0.00108938,0.00108938
23,20242,1.74716,0.79018,0.00192,0.89782,0.85672,0.90905,0.48042,1.57739,0.66097,0.00228,0.00106188,0.00106188,0.00106188
