epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13055.7,1.2318,1.01656,0.01083,0.8378,0.69189,0.7571,0.50813,1.76817,1.24455,0.00932,0.00999817,0.00333272,0.00999817,0.00333272,0.00999817,0.00333272,0.00999817,0.00333272
2,26470.7,1.28541,1.076,0.01147,0.84172,0.67789,0.75281,0.49589,1.8293,1.25367,0.00968,0.0193382,0.00644608,0.0193382,0.00644608,0.0193382,0.00644608,0.0193382,0.00644608
3,39525.9,1.39317,1.21623,0.01283,0.81845,0.65265,0.72092,0.47235,1.85037,1.39692,0.01014,0.0280183,0.00933943,0.0280183,0.00933943,0.0280183,0.00933943,0.0280183,0.00933943
4,51575.8,1.48263,1.34799,0.01387,0.80754,0.6488,0.71109,0.46236,1.92045,1.35046,0.01053,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,63507.4,1.47291,1.33763,0.01372,0.83157,0.65362,0.73089,0.48088,1.79434,1.35217,0.00986,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,75688.5,1.4538,1.3059,0.01351,0.83794,0.67269,0.74915,0.49147,1.75901,1.30124,0.00964,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,89152.3,1.44554,1.28629,0.01342,0.82636,0.66294,0.74038,0.49382,1.78735,1.28018,0.00956,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,101418,1.43705,1.25884,0.01327,0.82615,0.65206,0.73593,0.49968,1.74724,1.30813,0.00932,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,113740,1.42426,1.24922,0.01313,0.8107,0.65914,0.74118,0.50362,1.73027,1.30119,0.00917,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
